model,query_id,P@10,R@10,F1@10,AP,RR,NDCG@10,num_relevant
VSM,131,0.100000,0.125000,0.111111,0.272837,0.125000,0.017769,8.000000
VSM,132,0.700000,0.466667,0.560000,0.686359,0.500000,0.523069,15.000000
VSM,133,0.100000,0.142857,0.117647,0.225486,0.142857,0.197746,7.000000
VSM,134,0.100000,0.500000,0.166667,0.280303,0.500000,0.212845,2.000000
VSM,135,0.400000,0.500000,0.444444,0.540412,1.000000,0.349121,8.000000
VSM,136,0.100000,0.333333,0.153846,0.392361,1.000000,0.929891,3.000000
VSM,137,0.200000,0.500000,0.285714,0.210584,0.250000,0.209895,4.000000
VSM,138,0.100000,0.500000,0.166667,0.120000,0.200000,0.237198,2.000000
VSM,139,0.000000,0.000000,0.000000,0.010299,0.012346,0.000000,4.000000
VSM,140,0.200000,0.333333,0.250000,0.144350,0.500000,0.440688,6.000000
VSM,141,0.200000,0.333333,0.250000,0.172190,0.500000,0.275491,6.000000
VSM,142,0.100000,1.000000,0.181818,0.125000,0.125000,0.315465,1.000000
VSM,143,0.100000,0.500000,0.166667,0.340909,0.500000,0.386853,2.000000
VSM,144,0.400000,0.666667,0.500000,0.564153,1.000000,0.754551,6.000000
VSM,145,0.400000,0.571429,0.470588,0.467242,1.000000,0.585944,7.000000
VSM,146,0.200000,1.000000,0.333333,0.750000,1.000000,0.560011,2.000000
VSM,147,0.200000,0.200000,0.200000,0.275362,1.000000,0.335234,10.000000
VSM,148,0.300000,0.500000,0.375000,0.450060,1.000000,0.677152,6.000000
VSM,149,0.300000,0.272727,0.285714,0.329883,1.000000,0.378501,11.000000
VSM,150,0.200000,1.000000,0.333333,0.833333,1.000000,0.919721,2.000000
VSM,151,0.000000,0.000000,0.000000,0.032786,0.033333,0.000000,5.000000
VSM,152,0.000000,0.000000,0.000000,0.025260,0.090909,0.000000,6.000000
VSM,153,0.400000,0.571429,0.470588,0.268099,0.333333,0.356489,7.000000
VSM,154,0.200000,1.000000,0.333333,0.416667,0.500000,0.493236,2.000000
VSM,155,0.300000,0.500000,0.375000,0.381891,1.000000,0.219511,6.000000
VSM,156,0.600000,0.428571,0.500000,0.495128,1.000000,0.326500,14.000000
VSM,157,0.600000,0.153846,0.244898,0.333957,0.500000,0.246604,39.000000
VSM,158,0.300000,0.375000,0.333333,0.318910,1.000000,0.716098,8.000000
VSM,159,0.100000,0.125000,0.111111,0.079963,0.250000,0.040773,8.000000
VSM,160,0.100000,0.200000,0.133333,0.125663,0.500000,0.262511,5.000000
VSM,161,0.300000,0.500000,0.375000,0.522850,1.000000,0.744464,6.000000
VSM,162,0.200000,0.250000,0.222222,0.170508,0.500000,0.117680,8.000000
VSM,163,0.200000,0.666667,0.307692,0.188530,0.200000,0.348702,3.000000
VSM,164,0.300000,0.375000,0.333333,0.321313,0.500000,0.426329,8.000000
VSM,165,0.200000,1.000000,0.333333,0.366667,0.333333,0.543771,2.000000
VSM,166,0.000000,0.000000,0.000000,0.022547,0.029412,0.000000,8.000000
VSM,167,0.200000,1.000000,0.333333,0.225000,0.250000,0.436526,2.000000
VSM,168,0.100000,0.500000,0.166667,0.166667,0.200000,0.237198,2.000000
VSM,169,0.200000,0.500000,0.285714,0.187195,0.200000,0.274171,4.000000
VSM,170,0.500000,0.833333,0.625000,0.604119,1.000000,0.800152,6.000000
VSM,171,0.300000,1.000000,0.461538,0.305556,0.250000,0.484871,3.000000
VSM,172,0.400000,1.000000,0.571429,0.770833,1.000000,0.881596,4.000000
